freq,unit,age,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,THS_PER,Y15-34,HR	10.7 u	10.9 bu	11.2 bu	17.7 e	23.7 e	23.4 e	18.3 e	16.1 be	17.7 e	18.1 e	22.2 e	19.2 e	21.5 e	24.0 e	27.8 e	23.3 e	32.2 e	30.1 be	28.5 e
A,THS_PER,Y15-34,HU	78.7 e	76.4 be	85.1 e	82.3 e	82.8 e	69.6 e	67.3 e	49.8 b	56.5 e	60.8 e	58.8 e	53.3 	57.0 	55.9 	52.5 e	56.1 e	64.9 e	62.8 be	68.9 e
A,THS_PER,Y15-34,IE	37.7 e	37.1 be	37.3 e	41.6 be	39.5 e	36.7 e	35.2 e	33.6 be	33.0 e	32.0 e	34.5 e	33.1 e	36.8 e	37.2 be	37.5 e	40.1 e	46.0 e	54.4 be	56.2 e
A,THS_PER,Y15-34,IS	: 	: 	: 	: 	: 	: 	: 	2.1 be	1.8 e	2.2 e	2.5 e	3.0 e	3.5 e	3.7 e	2.9 e	2.6 e	3.1 be	2.8 be	3.8 e
A,THS_PER,Y15-34,IT	282.7 be	283.8 be	283.8 e	266.0 e	260.6 e	259.6 e	244.4 e	225.7 be	211.5 e	195.9 e	191.7 e	188.0 e	185.2 e	185.4 e	194.5 e	207.7 e	224.2 e	230.7 be	253.8 e
A,THS_PER,Y15-34,LT	12.3 u	10.4 bu	9.0 u	10.6 u	12.3 u	11.3 	12.1 	11.9 be	10.9 e	11.1 e	13.0 e	15.5 e	17.3 e	19.9 e	20.5 e	21.9 e	21.7 e	29.5 be	33.3 e
A,THS_PER,Y15-34,LU	3.2 e	3.3 be	2.5 e	2.5 be	3.1 e	4.2 be	3.0 e	2.7 be	3.3 e	2.6 e	3.8 e	4.1 be	4.0 	5.2 e	6.8 e	6.8 e	7.3 	7.9 b	9.1 e
A,THS_PER,Y15-34,LV	11.7 e	12.6 be	12.1 e	13.9 e	14.3 e	12.7 e	12.5 e	12.7 be	10.7 e	12.0 e	12.1 e	12.2 e	12.0 e	12.9 e	11.2 e	13.5 e	17.5 e	16.5 be	21.0 e
A,THS_PER,Y15-34,ME	: 	: 	: 	: 	: 	: 	: 	1.5 bu	2.0 e	1.8 u	2.2 e	1.8 u	2.0 e	2.4 e	2.0 e	2.6 e	2.2 e	: 	: 
A,THS_PER,Y15-34,MK	: 	: 	: 	: 	: 	: 	: 	4.3 be	4.9 	5.0 	5.6 e	6.3 e	7.3 e	6.2 e	7.4 e	8.9 	10.1 e	: 	: 
A,THS_PER,Y15-34,MT	4.9 be	4.4 be	4.0 e	5.7 e	5.4 e	4.6 e	4.8 e	4.1 be	3.9 e	3.7 e	3.7 e	4.2 e	5.1 e	5.7 e	6.5 	6.3 e	6.4 e	7.6 be	7.4 e
A,THS_PER,Y15-34,NL	130.8 e	121.7 b	115.7 b	113.8 e	121.4 	114.1 	113.5 e	128.8 be	128.7 	133.4 b	133.9 	135.4 	143.8 	148.9 	163.2 	174.5 	191.5 	230.5 be	255.5 
A,THS_PER,Y15-34,NO	: 	: 	: 	: 	: 	: 	: 	33.8 be	33.8 e	37.3 	37.2 e	37.4 e	35.6 e	39.2 e	41.9 	45.6 e	49.3 e	50.1 be	57.0 e
A,THS_PER,Y15-34,PL	159.4 be	187.5 be	222.9 e	246.6 e	254.0 e	276.2 e	240.0 be	197.2 be	210.0 	209.3 	211.0 e	208.7 e	231.7 e	230.7 	224.2 	232.3 	237.8 	245.0 b	241.9 
A,THS_PER,Y15-34,PT	63.3 e	67.6 be	71.0 e	73.9 e	72.2 e	76.0 e	72.7 e	41.3 be	41.8 e	43.1 e	56.2 e	51.0 e	50.3 e	50.0 e	60.5 e	69.7 e	70.6 e	83.3 be	90.1 
A,THS_PER,Y15-34,RO	: 	52.8 be	75.4 e	89.0 e	90.1 e	86.9 e	67.8 be	63.0 be	67.8 e	70.9 e	72.7 	83.2 e	81.4 e	87.8 e	90.9 e	94.4 e	95.1 e	96.4 be	105.2 e
A,THS_PER,Y15-34,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.0 e	18.0 be	23.3 e	24.7 e	25.6 e	29.6 e	35.8 e	40.2 e	41.2 b	42.6 e
